pulse_count,tube_rate,wall_time,monotonic
35531,22.585,1782447378.7351837,13012.260764987
35532,21.752,1782447379.7352612,13013.260842538
35533,22.118,1782447380.7352183,13014.260799483
35533,22.118,1782447381.7352073,13015.260788761
35534,23.601,1782447382.7351725,13016.260753893
35534,23.601,1782447383.7351751,13017.260756624
35535,23.165,1782447384.7352135,13018.260794913
35535,23.165,1782447385.735176,13019.260757693
35535,23.165,1782447386.7351708,13020.260752029
35535,23.165,1782447387.7352316,13021.260813002
35536,23.165,1782447388.7351725,13022.260754013
35536,21.415,1782447389.7351718,13023.260753203
35536,21.415,1782447390.7352147,13024.260795823
35537,20.993,1782447391.7351756,13025.260757145
35537,20.993,1782447392.7351723,13026.260753696
35537,20.993,1782447393.7351742,13027.260755467
35537,20.993,1782447394.7352905,13028.260872151
35537,20.993,1782447395.7352033,13029.260784641
35538,20.063,1782447396.735397,13030.260978559
35538,20.063,1782447397.7351942,13031.260775602
35539,20.401,1782447398.735205,13032.260786073
35539,20.401,1782447399.7351713,13033.260752762
35539,20.401,1782447400.7351727,13034.26075416
35539,20.401,1782447401.735177,13035.260758503
35539,20.401,1782447402.7352731,13036.260854562
35539,20.401,1782447403.7352607,13037.2608419
35539,20.401,1782447404.735261,13038.260842351
35540,17.592,1782447405.7352102,13039.260792091
35540,17.592,1782447406.7352521,13040.260833436
35540,17.592,1782447407.7352037,13041.260785127
35541,17.592,1782447408.7351718,13042.260753147
35542,17.343,1782447409.7351725,13043.260753815
35543,18.466,1782447410.7352142,13044.260795503
35543,18.466,1782447411.735174,13045.26075529
35543,18.466,1782447412.7351773,13046.260758666
35544,18.68,1782447413.7352526,13047.260833938
35545,20.783,1782447414.735195,13048.260776624
35545,20.783,1782447415.7351706,13049.260751989
35545,20.783,1782447416.7352126,13050.260793996
35545,20.783,1782447417.7351706,13051.260751946
35545,20.783,1782447418.7351887,13052.260770388
35547,21.338,1782447419.7351713,13053.260752702
35548,22.907,1782447420.7351956,13054.260776963
35548,22.907,1782447421.735181,13055.260762378
35548,22.907,1782447422.7352133,13056.260794744
35549,22.907,1782447423.7351706,13057.260751959
35549,22.319,1782447424.735211,13058.260792467
35550,22.732,1782447425.7352116,13059.260792889
35550,22.732,1782447426.7352283,13060.260810192
35551,23.495,1782447427.7352335,13061.260815326
35551,23.495,1782447428.7351782,13062.260759557
35551,23.495,1782447429.7351966,13063.260777969
35551,23.495,1782447430.7351773,13064.260758621
35551,23.495,1782447431.7351737,13065.260754964
35551,23.495,1782447432.7352405,13066.260822008
35551,23.495,1782447433.735205,13067.260786311
35551,23.495,1782447434.7352087,13068.260790039
35551,23.495,1782447435.7351701,13069.260751379
35551,23.495,1782447436.7352073,13070.260788733
35551,23.495,1782447437.735191,13071.260772624
35552,19.411,1782447438.7352104,13072.26079192
35553,19.845,1782447439.7351718,13073.260753102
35553,19.845,1782447440.7352264,13074.260808325
35554,19.881,1782447441.735217,13075.260798825
35555,21.146,1782447442.7351696,13076.260750798
35555,21.146,1782447443.7351959,13077.260777147
35555,21.146,1782447444.7352223,13078.260803962
35556,21.099,1782447445.7351737,13079.260755037
35556,21.099,1782447446.7352068,13080.260788252
35556,21.099,1782447447.7351701,13081.260751441
35556,21.099,1782447448.735213,13082.260794388
35558,22.225,1782447449.735216,13083.260797332
35558,22.225,1782447450.7351913,13084.26077303
35560,26.522,1782447451.7351701,13085.260751293
35560,26.522,1782447452.7351692,13086.260750592
35562,26.36,1782447453.7351952,13087.2607764
35562,26.36,1782447454.7351766,13088.260757857
35563,26.955,1782447455.7351723,13089.260753597
35563,26.955,1782447456.7351727,13090.260754293
35563,26.955,1782447457.7352138,13091.260795274
35563,26.955,1782447458.735213,13092.260794364
35563,26.955,1782447459.7351706,13093.260751842
35563,26.955,1782447460.7352214,13094.260803324
35563,26.955,1782447461.735211,13095.260792268
35563,26.955,1782447462.735256,13096.260837288
35563,26.955,1782447463.735248,13097.260829814
35563,26.955,1782447464.735216,13098.260797218
35563,26.955,1782447465.7352014,13099.260782499
35563,26.955,1782447466.7352614,13100.260842799
35563,26.955,1782447467.7352014,13101.260782711
35563,26.955,1782447468.7352128,13102.260794415
35563,26.955,1782447469.7352107,13103.260792139
35563,26.955,1782447470.7351878,13104.26076894
35563,26.955,1782447471.7352183,13105.260799497
35564,19.636,1782447472.7352116,13106.260792857
35565,20.889,1782447473.7352188,13107.260799947
35565,20.889,1782447474.7352126,13108.260793968
35565,20.889,1782447475.7351692,13109.260750705
35565,20.889,1782447476.7352135,13110.260795005
35566,20.487,1782447477.735253,13111.26083435
35567,20.487,1782447478.7351987,13112.260779949
35567,19.261,1782447479.7351818,13113.260763671
35567,19.261,1782447480.735192,13114.260773329
35568,19.709,1782447481.7351742,13115.260755609
35568,19.709,1782447482.7351825,13116.260764083
35569,19.492,1782447483.7351797,13117.260761303
35570,19.927,1782447484.7351787,13118.26076032
35570,19.927,1782447485.7352061,13119.260787654
35571,19.927,1782447486.7351754,13120.260756806
35571,23.237,1782447487.7351716,13121.260752804
35571,23.237,1782447488.7351718,13122.260753238
35571,23.237,1782447489.7351737,13123.260755036
35571,23.237,1782447490.7351754,13124.260756697
35571,23.237,1782447491.7352455,13125.260826977
35571,23.237,1782447492.735179,13126.26076026
35571,23.237,1782447493.735208,13127.260789285
35572,20.623,1782447494.7351744,13128.260755634
35572,20.623,1782447495.7352161,13129.260797525
35573,20.454,1782447496.735188,13130.260769298
35573,20.454,1782447497.735172,13131.260753587
35573,20.454,1782447498.735168,13132.260749422
35574,19.733,1782447499.735176,13133.260757535
35574,19.733,1782447500.735174,13134.260755268
35574,19.733,1782447501.735187,13135.260768635
35575,19.733,1782447502.735177,13136.260758368
35575,19.581,1782447503.7352417,13137.260823056
35577,21.584,1782447504.7351525,13138.26073374
35578,20.97,1782447505.73519,13139.260771617
35578,20.97,1782447506.7352078,13140.260788904
35579,21.291,1782447507.7352152,13141.260796334
35579,21.291,1782447508.735255,13142.260836387
35579,21.291,1782447509.7351773,13143.260759417
35580,19.744,1782447510.73517,13144.26075121
35580,19.744,1782447511.735195,13145.260776264
35580,19.744,1782447512.7352011,13146.260782464
35581,19.744,1782447513.7352087,13147.260790091
35581,19.437,1782447514.735208,13148.260789267
35581,19.437,1782447515.7352047,13149.26078592
35581,19.437,1782447516.7351775,13150.260758836
35581,19.437,1782447517.735214,13151.260795282
35582,19.437,1782447518.7352536,13152.260834825
35582,17.652,1782447519.735183,13153.260764506
35583,17.652,1782447520.735208,13154.260789275
35583,23.15,1782447521.7351792,13155.260760695
35583,23.15,1782447522.7351847,13156.260766378
35584,22.691,1782447523.7351513,13157.260732645
35585,23.974,1782447524.7351716,13158.260752913
35586,24.274,1782447525.7351968,13159.260778269
35586,24.274,1782447526.735183,13160.260764471
35586,24.274,1782447527.7351985,13161.260779949
35586,24.274,1782447528.7352483,13162.260829612
35586,24.274,1782447529.7352152,13163.260796428
35588,23.139,1782447530.7351491,13164.260730561
35588,23.407,1782447531.7352083,13165.260789477
35588,23.407,1782447532.7351706,13166.260751853
35588,23.407,1782447533.7351546,13167.260736292
35588,23.407,1782447534.7352202,13168.260801459
35588,23.407,1782447535.7351747,13169.260755932
35588,23.407,1782447536.735208,13170.260789338
35588,23.407,1782447537.7352443,13171.260825544
35589,20.916,1782447538.7351785,13172.260759976
35590,21.518,1782447539.7351797,13173.26076108
35591,24.744,1782447540.7351747,13174.260756126
35591,24.744,1782447541.7351825,13175.26076398
35592,24.719,1782447542.7352269,13176.260808184
35592,24.719,1782447543.7352605,13177.260841764
35592,24.719,1782447544.735196,13178.260777849
35592,24.719,1782447545.7352061,13179.260787509
35592,24.719,1782447546.7352474,13180.260828679
35592,24.719,1782447547.7352417,13181.260822946
35592,24.719,1782447548.7352698,13182.260851314
35592,24.719,1782447549.7351847,13183.260766182
35592,24.719,1782447550.7351723,13184.260753714
35592,24.719,1782447551.7352254,13185.260807222
35592,24.719,1782447552.7351925,13186.260774016
35592,24.719,1782447553.7352097,13187.260790921
35592,24.719,1782447554.7351725,13188.260753798
35592,24.719,1782447555.735171,13189.260752316
35592,24.719,1782447556.7351658,13190.260747337
35593,19.495,1782447557.7352583,13191.26083961
35593,19.495,1782447558.7352452,13192.260826534
35594,19.495,1782447559.7351725,13193.260753938
35594,19.697,1782447560.735241,13194.260822445
35595,19.82,1782447561.7352517,13195.260832947
35595,19.82,1782447562.735214,13196.260795437
35595,19.82,1782447563.735212,13197.260793457
35595,19.82,1782447564.7351894,13198.260770765
35595,19.82,1782447565.7351794,13199.260760724
35595,19.82,1782447566.735213,13200.260794521
35595,19.82,1782447567.7352207,13201.26080193
35595,19.82,1782447568.7352276,13202.260809071
35595,19.82,1782447569.735171,13203.26075236
35596,18.041,1782447570.7351704,13204.260751653
35597,17.236,1782447571.735208,13205.26078929
35597,17.236,1782447572.7352304,13206.260811686
35598,17.079,1782447573.735211,13207.26079225
35599,17.777,1782447574.735195,13208.260776334
35600,18.428,1782447575.7352054,13209.260786633
35600,18.428,1782447576.7352495,13210.260830878
35602,19.348,1782447577.7351787,13211.260760369
35602,19.668,1782447578.7352083,13212.260789407
35602,19.668,1782447579.7351737,13213.260754877
35602,19.668,1782447580.7351737,13214.26075497
35603,19.638,1782447581.7352061,13215.26078735
35603,19.638,1782447582.7352078,13216.26078902
35603,19.638,1782447583.7352262,13217.260807531
35603,19.638,1782447584.7352037,13218.260785084
35603,19.638,1782447585.7351782,13219.260759831
35603,19.638,1782447586.735172,13220.26075343
35603,19.638,1782447587.7351744,13221.260755747
35603,19.638,1782447588.735215,13222.26079627
35603,19.638,1782447589.735205,13223.260786288
35603,19.638,1782447590.7352064,13224.260787616
35603,19.638,1782447591.7352624,13225.260844196
35603,19.638,1782447592.7351773,13226.260758398
35603,19.638,1782447593.7351747,13227.260755834
35604,16.164,1782447594.7352283,13228.260809943
35605,16.164,1782447595.7352092,13229.260790661
35605,16.045,1782447596.7352612,13230.260843019
35605,16.045,1782447597.7352417,13231.260822927
35605,16.045,1782447598.735219,13232.260800308
35605,16.045,1782447599.7352095,13233.260790838
35605,16.045,1782447600.7352502,13234.260832256
35607,16.081,1782447601.7351758,13235.260757191
35607,16.081,1782447602.735195,13236.260776191
35607,16.081,1782447603.7352057,13237.260786969
35608,17.088,1782447604.735206,13238.260787191
35608,17.088,1782447605.735206,13239.260787339
35608,17.088,1782447606.7351735,13240.260754565
35608,17.088,1782447607.7351863,13241.260768289
35609,16.379,1782447608.7351966,13242.26077808
35609,16.379,1782447609.7351987,13243.260780791
35609,16.379,1782447610.7352452,13244.260826543
35609,16.379,1782447611.7351727,13245.260754226
35609,16.379,1782447612.735212,13246.260793234
35609,16.379,1782447613.7351716,13247.260752852
35609,16.379,1782447614.7351754,13248.260756976
35609,16.379,1782447615.7351878,13249.26076906
35609,16.379,1782447616.735177,13250.260758184
35611,14.799,1782447617.7351723,13251.26075411
35611,14.913,1782447618.7351775,13252.260758843
35611,14.913,1782447619.7351732,13253.260754538
35611,14.913,1782447620.735213,13254.260794607
35612,17.634,1782447621.7351737,13255.260754901
